113	1	28	0
101	1	28	0
110	1	69	1
121	1	57	0
82	1	18	0
85	1	28	0
84	1	0	0
98	1	43	0
92	1	33	0
90	1	18	0
88	1	28	0
84	1	18	0
114	1	18	1
70	1	57	0
109	1	40	1
83	1	43	0
108	1	69	0
95	1	43	0
90	1	28	0
107	1	28	1
86	1	18	0
70	1	43	0
114	1	0	1
117	1	42	1
112	1	43	1
88	1	0	1
106	1	42	1
125	1	28	1
94	1	0	1
103	1	0	0
123	1	46	1
100	1	35	0
90	1	27	0
70	1	51	0
90	1	46	0
99	1	0	0
123	1	43	0
127	1	43	1
124	1	62	1
110	1	27	0
94	1	43	1
112	1	40	1
123	1	35	1
70	1	18	0
102	1	43	0
126	1	27	1
121	1	40	1
100	1	43	0
85	1	31	0
86	1	31	0
101	1	28	0
91	1	40	0
113	1	43	1
103	1	33	0
117	1	18	0
72	1	43	0
70	1	18	0
112	1	18	0
65	1	18	0
97	1	35	0
100	1	43	0
99	1	18	0
91	1	28	0
107	1	43	0
94	1	43	0
104	1	36	0
117	1	0	1
104	1	43	0
115	1	66	0
123	2	35	0
103	2	43	0
109	2	43	0
99	2	61	0
100	2	47	1
100	2	62	0
107	2	40	1
70	2	18	0
91	2	30	0
117	2	43	1
115	2	57	1
93	2	43	0
103	2	30	1
99	2	57	0
115	2	36	0
104	2	38	1
116	2	47	0
94	2	51	0
114	2	43	1
113	2	18	0
106	2	0	0
119	2	57	1
114	2	48	1
108	2	27	1
97	2	46	0
83	2	28	0
103	2	43	0
104	2	64	0
97	2	18	0
109	2	69	0
90	2	33	0
114	2	28	0
99	2	38	0
94	2	35	1
86	2	28	0
93	2	35	1
91	2	28	0
109	2	40	0
91	2	28	0
106	2	28	0
109	2	43	1
111	2	51	0
111	2	0	0
106	2	0	0
86	2	40	0
107	2	18	0
103	2	28	0
100	2	18	0
101	2	38	0
97	2	36	0
105	2	46	0
98	2	37	0
111	2	18	0
88	2	57	0
123	2	28	0
98	2	33	0
94	2	43	0
109	2	28	0
70	2	18	0
75	2	33	0
72	2	18	1
70	2	18	0
70	2	18	0
70	2	18	0
70	2	18	0
85	2	18	0
108	2	28	0
75	2	28	0
104	2	0	1
103	2	38	0
122	2	38	1
110	2	40	1
107	1	40	1
104	1	75	1
70	1	58	0
116	1	18	0
103	1	43	0
95	1	43	1
113	1	0	0
126	1	61	0
118	1	71	1
115	1	27	1
89	1	43	0
113	1	61	1
85	1	37	1
95	1	43	1
109	1	57	1
111	1	69	1
116	1	75	1
90	1	43	0
90	1	28	0
82	1	31	0
84	1	33	0
117	1	28	0
71	1	40	0
104	1	69	1
86	1	18	0
79	1	46	0
80	1	65	0
99	1	18	1
86	1	61	0
116	1	18	1
124	1	65	1
98	1	28	0
101	1	35	0
87	1	43	0
97	1	40	1
120	1	43	1
103	1	43	1
107	1	40	1
105	1	57	0
99	1	37	1
103	1	28	1
101	1	28	0
102	2	18	0
105	2	18	1
70	2	18	0
101	2	43	1
90	2	42	1
85	2	43	1
104	2	18	1
87	2	18	1
85	2	37	1
102	2	42	0
94	2	37	0
93	2	37	1
99	2	37	1
103	2	38	1
89	2	18	0
77	2	0	0
92	2	37	0
109	2	43	1
91	2	18	0
109	2	58	1
105	2	57	0
105	2	18	1
90	2	69	0
99	2	69	1
110	2	37	1
88	2	37	1
101	2	66	1
91	2	18	0
78	2	18	1
118	2	65	1
100	2	28	0
100	2	18	0
85	2	57	1
106	2	61	1
70	2	0	0
97	2	18	0
86	2	0	0
92	2	18	0
102	2	38	0
86	2	18	0
78	2	46	1
100	2	18	0
104	1	61	1
70	1	31	0
107	1	75	1
114	1	37	1
103	1	31	0
115	1	37	0
106	1	57	1
114	1	61	1
90	1	58	1
103	1	37	1
92	1	58	0
113	1	37	1
92	1	37	0
108	1	37	1
96	1	18	0
70	1	18	0
112	1	75	1
106	1	28	1
